plaza,cantidad_plazas,remuneracion_min,remuneracion_max
ABOGADO,68,"7,902","16,725"
ABOGADO DE INSTRUMENTOS JURIDICOS,2,"17,088","17,088"
ABOGADO DE LA PROCURADURIA SOCIAL,1,"18,297","18,297"
ABOGADO ESPECIALISTA,4,"14,733","14,733"
ABOGADO ESPECIALISTA EN ESTUDIOS CONSTITUCIONALES,3,"66,873","66,873"
ABOGADO ESPECIALIZADO,213,"12,545","16,725"
ABOGADO ESPECIALIZADO A,4,"22,453","22,453"
ABOGADO ESPECIALIZADO DE TRABAJO Y PREVISION SOC,12,"22,453","22,453"
ABOGADO GENERAL DEL GOBERNADOR,1,"121,508","121,508"
ACTUARIO DE CONCILIACION Y ARBITRAJE DE LA JUNTA,66,"19,759","19,759"
ACTUARIO DEL MINISTERIO PUBLICO,722,"15,937","15,937"
ACTUARIO DEL MINISTERIO PUBLICO A,6,"15,525","15,525"
ACTUARIO ESPECIALIZADO DEL MINISTERIO PUBLICO,51,"15,937","15,937"
ADMINISTRADOR,3,"16,725","16,725"
ADMINISTRADOR DE ESPACIOS CULTURALES,2,"17,088","17,088"
ADMINISTRADOR DE RED GLOBAL DIGITAL,5,"22,453","22,453"
ADMINISTRADOR DE SISTEMAS,4,"19,759","19,759"
ADMINISTRADOR DEL TEATRO DEGOLLADO,1,"18,297","18,297"
ADMINISTRATIVO DE CONTROL DE CONFIANZA,3,"15,937","15,937"
ADMINISTRATIVO DE RESIDENCIA,5,"13,809","13,809"
ADMINISTRATIVO ESPECIALIZADO,2211,"6,905","15,525"
"ADMINISTRATIVO ESPECIALIZADO ""A""",7,"8,475","8,475"
ADMINISTRATIVO ESPECIALIZADO B,7,"14,332","14,332"
ADMINISTRATIVO ESPECIALIZADO EN CONTROL DE CREDITOS,3,"15,525","15,525"
ADMINISTRATIVO ESPECIALIZADO F,2,"16,725","16,725"
ADMINISTRATIVO ESPECIALIZADO NIVEL 9,3,"13,595","13,595"
ADMOR. DE U. DPTVAS.,1,"5,910","5,910"
ADMVO ESPECIALIZADO A,2,"5,990","5,990"
ADMVO ESPECIALIZADO B,82,"7,298","7,298"
ADMVO ESPECIALIZADO C,114,"8,473","8,473"
AGENTE DE CASO,1,"18,297","18,297"
AGENTE DE INFORMACION,3,"6,905","6,905"
AGENTE DEL MINISTERIO PUBLICO,566,"28,072","28,072"
AGENTE ESPECIALIZADO DEL MINISTERIO PUBLICO,49,"28,072","28,072"
AGENTE SOCIAL,163,"18,297","18,297"
ALBAÑIL,2,"12,545","12,545"
ALMACENISTA,3,"14,812","14,812"
ANALISIS ESTADISTICO,1,"22,453","22,453"
ANALISTA,3,"14,733","14,733"
ANALISTA A,265,"10,750","14,332"
ANALISTA ADMINISTRATIVO,401,"7,902","14,332"
ANALISTA ADMINISTRATIVO NIVEL 7,10,"12,209","12,209"
ANALISTA B,201,"10,358","13,809"
ANALISTA C,4,"11,644","15,525"
ANALISTA COMUNITARIO,1,"12,556","12,556"
ANALISTA CONTABLE,22,"14,332","14,332"
ANALISTA CRIMINAL,4,"19,759","19,759"
ANALISTA DE CARTERA DE CREDITOS,2,"14,332","14,332"
ANALISTA DE COMUNICACION,10,"16,725","16,725"
ANALISTA DE CONTRALORIA SOCIAL,1,"16,725","16,725"
ANALISTA DE EDUCACION A DISTANCIA,1,"15,080","15,080"
ANALISTA DE EVALUACION DE PROYECTOS,4,"19,759","19,759"
ANALISTA DE INTELIGENCIA ARTIFICIAL,1,"32,286","32,286"
ANALISTA DE PROCURACION DE FONDOS,1,"36,155","36,155"
ANALISTA DE PROGRAMACION DE APOYO,5,"11,110","14,812"
ANALISTA DE PROGRAMACION DE APOYO A,1,"14,332","14,332"
ANALISTA DE PROGRAMAS DE EDUCACION,5,"14,217","15,080"
ANALISTA DE PROYECTOS,1,"12,058","12,058"
ANALISTA DE PROYECTOS DE INVERSION,2,"22,453","22,453"
ANALISTA DE PROYECTOS DE SALUD,1,"17,088","17,088"
ANALISTA DE PROYECTOS DE SALUD A,1,"19,759","19,759"
ANALISTA DE RECLUTAMIENTO Y SELECCION DE PERSONAL,2,"14,217","15,080"
