"","up","sum(importe)"
"1","APORTACIONES, TRANSFERENCIAS Y SUBSIDIOS A MUNICIPIOS",6835470229
"2","COMISION ESTATAL DE DERECHOS HUMANOS DE JALISCO",148563852.52
"3","CONSEJERIA JURIDICA DEL PODER EJECUTIVO DEL ESTADO",25378824
"4","CONTRALORIA DEL ESTADO",113883904.66
"5","COORDINACION GENERAL ESTRATEGICA DE CRECIMIENTO Y DESARROLLO ECONOMICO",11638333.69
"6","COORDINACION GENERAL ESTRATEGICA DE DESARROLLO SOCIAL",362291213
"7","COORDINACION GENERAL ESTRATEGICA DE GESTION DEL TERRITORIO",18606033
"8","COORDINACION GENERAL ESTRATEGICA DE SEGURIDAD",259791676.87
"9","DESPACHO DEL GOBERNADOR",7499273.93
"10","DEUDA PUBLICA",2701606969.73
"11","FISCALIA ESTATAL",2248839100.41
"12","INSTITUTO DE TRANSPARENCIA, INFORMACION PUBLICA Y PROTECCION DE DATOS PERSONALES DEL ESTADO DE JALISCO",56273929.16
"13","INSTITUTO ELECTORAL Y DE PARTICIPACION CIUDADANA",170677291.47
"14","JEFATURA DE GABINETE",158332030
"15","PARTICIPACIONES",17074499416.15
"16","PODER JUDICIAL",1708517423
"17","PODER LEGISLATIVO DEL ESTADO DE JALISCO",997060129
"18","PROCURADURIA SOCIAL",130109652
"19","SECRETARIA DE ADMINISTRACION",938581110.52
"20","SECRETARIA DE AGRICULTURA Y DESARROLLO RURAL",1727854890.43
"21","SECRETARIA DE CULTURA",703106746.71
"22","SECRETARIA DE DESARROLLO ECONOMICO",360517997.19
"23","SECRETARIA DE EDUCACION",32459620439.39
"24","SECRETARIA DE GESTION INTEGRAL DEL AGUA",1610751926.13
"25","SECRETARIA DE IGUALDAD SUSTANTIVA",282805550.09
"26","SECRETARIA DE INFRAESTRUCTURA Y OBRA PUBLICA",5550998338.33
"27","SECRETARIA DE INNOVACION, CIENCIA Y TECNOLOGIA",812477417
"28","SECRETARIA DE LA HACIENDA PUBLICA",1444250710.87
"29","SECRETARIA DE MEDIO AMBIENTE Y DESARROLLO TERRITORIAL",681294098.2
"30","SECRETARIA DE PLANEACION Y PARTICIPACION CIUDADANA",606611781.22
"31","SECRETARIA DE SALUD JALISCO",13751926518.99
"32","SECRETARIA DE SEGURIDAD",4613153170.03
"33","SECRETARIA DE TURISMO",190354156.98
"34","SECRETARIA DEL SISTEMA DE ASISTENCIA SOCIAL",2666601420.06
"35","SECRETARIA DEL TRABAJO Y PREVISION SOCIAL",437765190.84
"36","SECRETARIA DEL TRANSPORTE",1609284725.51
"37","SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL ANTI-CORRUPCION",50178924
"38","SECRETARIA GENERAL DE GOBIERNO",737107290.58
"39","TRIBUNAL DE ARBITRAJE Y ESCALAFON",62520479.78
"40","TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE JALISCO",123995727.4
"41","TRIBUNAL ELECTORAL DEL ESTADO DE JALISCO",37330043.8
"42","UNIDAD DE ENLACE FEDERAL Y ASUNTOS INTERNACIONALES",20882414.9
"43","UNIDADES ADMINISTRATIVAS DE APOYO",394142704.46
"44","UNIVERSIDAD DE GUADALAJARA",12043081501
