Gobierno del Estado de Jalisco,,,,,
Presupuesto de egresos para el ejercicio fiscal 2019,,,,,
Unidad Presupuestal - Unidad Responsable y Programa Presupuestario,,,,,
UP,UR,PP,Programa Presupuestario,Importe,Year
01,000,636,Atención Integral del Despacho del C. Gobernador,"7,499,273.93",2019
02,000,010,"Gobierno digital en línea, innovación y crecimiento en cobertura de servicios","869,050.00",2019
02,000,015,Modernización del Registro Civil,"4,182,773.00",2019
02,000,019,"Asesoría técnica de recursos financieros, humanos, informáticos, servicios generales , publicaciones oficiales y productos gráficos","107,594,336.16",2019
02,000,026,Atención a los Asuntos y Conflictos Agrarios en el Estado de Jalisco,"12,563,724.50",2019
02,000,027,Agenda para el Desarrollo Municipal,"2,070,000.00",2019
02,000,036,Certificación de documentos e Instrumentos públicos dando certeza y seguridad jurídica a los ciudadanos,"4,742,508.00",2019
02,000,045,Actos registrales y mercantiles,"806,906.00",2019
02,000,711,Red de Enlace y Sistema Integral Ciudadano de la Secretaria General de Gobierno,"29,949,181.88",2019
02,000,733,Modelo de Atención Integral a Víctimas,"26,425,000.00",2019
02,000,739,Evaluación y Monitoreo de la Problemática Social en las Regiones y Estado,"187,280,384.00",2019
02,000,798,"Conducción de la Política Interior, las Relaciones y Asuntos dirigidos al Ejecutivo Estatal","24,327,059.00",2019
02,000,799,Consolidación del Nuevo Sistema de Justicia Penal para el Estado de Jalisco,"7,385,000.00",2019
02,000,804,"Programa Estatal de Protección Integral de niñas, niños, y adolescentes","1,916,800.00",2019
02,000,805,"Seguridad, certeza en los actos jurídicos, firma electrónica, guarda , custodia de los inmuebles del Estado","1,057,000.00",2019
02,081,708,Fideicomiso Fondo Estatal de Desastres Naturales Jalisco (FOEDEN),"58,462,418.00",2019
02,087,079,Información Estratégica para la Toma de Decisiones,"30,675,037.76",2019
02,117,580,Prevención y Atención de Emergencias,"146,555,227.25",2019
02,117,581,Fortalecimiento de la Cultura de la Protección Civil,"16,025,408.05",2019
02,117,582,Fortalecimiento del Sistema Estatal de Protección Civil,"2,394,474.55",2019
02,117,583,Brigadistas Comunitarios,"9,750,822.88",2019
02,117,584,Atlas Estatal de Riesgos,"2,074,179.55",2019
02,141,850,"Seguimiento, evaluación y consolidación del nuevo sistema de justicia penal (juicios orales)","50,000,000.00",2019
02,801,928,Programa Estatal de Búsqueda de Personas,"10,000,000.00",2019
03,000,054,Fortalecimiento de la Hacienda Pública Estatal,"229,388,337.70",2019
03,000,056,Atención al contribuyente en Oficinas Recaudadoras y medios alternos de pago,"261,026,009.40",2019
03,000,057,Cobro coactivo de créditos fiscales,"21,288,338.00",2019
03,000,066,Atención de asuntos jurídicos fiscales,"25,192,916.68",2019
03,000,075,Obligaciones Financieras y Fiscales del Gobierno del Estado,"303,813,212.45",2019
03,000,076,Innovación y Tecnologías de Información y Telecomunicaciones,"106,539,923.16",2019
03,000,081,Vinculación con Organismos Públicos Descentralizados del Poder Ejecutivo,"11,424,097.00",2019
03,000,088,"Administración Eficiente y Eficaz de los Recursos Humanos, Materiales y Financieros de la Secretaría de Hacienda Pública","285,463,728.34",2019
03,000,089,Coordinación del Proceso Presupuestario y Administración de los Recursos Materiales y Desarrollo de los Recursos Humanos,"63,737,695.72",2019
03,000,093,Vigilancia del Cumplimiento de las Obligaciones Fiscales,"77,761,236.99",2019
03,000,104,Presupuesto basado en Resultados (PbR),"25,215,215.43",2019
04,000,111,Impartición de la Educación Preescolar,"1,620,990,083.85",2019
04,000,112,Impartición de la Educación Primaria,"24,499,964,760.54",2019
04,000,113,Impartición de la Educación Secundaria,"2,419,723,463.19",2019
04,000,121,Acciones de Apoyo a la Currícula de Educación Básica,"222,184,720.63",2019
04,000,127,Programa para la Inclusión y la Equidad Educativa,"4,122,000.00",2019
04,000,131,Tecnologías para Potenciar el Proceso de Enseñanza Aprendizaje en la Educación Básica,"8,954,594.12",2019
04,000,132,Fortalecimiento de la Vinculación entre los Niveles de Educación Básica y las Actividades de Apoyo Escolar,"150,315,397.51",2019
04,000,133,Programa Becas Económicas,"25,817,654.73",2019
04,000,137,Actualización y Capacitación Continua a Docentes de Educación Básica en Servicio,"68,619,410.11",2019
04,000,147,Fomento de la Participación Social en la Educación Básica,"18,314,868.65",2019
04,000,649,Impartición de la Educación Media Superior y la Capacitación para el Trabajo,"23,621,208.94",2019
04,000,652,Conducción de la Política Educativa,"69,769,409.16",2019
04,000,655,Administración Educativa Regional,"111,572,632.08",2019
04,000,790,Programa de la Reforma Educativa,"29,381,640.00",2019
04,000,807,Administración del Sistema Educativo Estatal,"489,013,171.71",2019
04,000,808,Planeación y Evaluación del Sistema Educativo Estatal,"51,272,204.21",2019
04,000,809,Apoyos educativos para grupos vulnerables y la formación integral,"721,814,991.81",2019
04,000,810,Formación inicial y de posgrado para los docentes de educación básica,"244,866,413.44",2019
04,000,811,Fomento de la salud de los alumnos de Educación Básica,"99,621,307.93",2019
04,009,148,Formación Profesional Técnica y Técnica Bachiller,"317,718,814.04",2019
